cumulative_distance,n_game_road_trip,win?
0,0,1
8,1,0
0,0,0
1180,1,0
3228,2,0
0,0,0
0,0,1
0,0,0
2205,1,1
4107,2,0
0,0,0
1202,1,1
2387,2,0
0,0,0
2134,1,0
3063,2,0
3922,3,0
0,0,0
307,1,1
0,0,1
1536,1,1
2540,2,0
3252,3,0
0,0,1
0,0,0
307,1,0
0,0,0
0,0,0
651,1,0
1353,2,1
1955,3,0
0,0,0
130,1,0
0,0,0
0,0,0
1180,1,0
3177,2,0
3775,3,0
5113,4,1
6445,5,0
7308,6,0
0,0,0
0,0,0
328,1,0
0,0,0
0,0,0
8,1,0
0,0,0
856,1,0
0,0,0
0,0,0
0,0,0
0,0,0
774,1,0
0,0,0
651,1,0
0,0,0
1202,1,1
0,0,0
0,0,1
0,0,1
0,0,0
3941,1,0
4524,2,0
5546,3,0
0,0,0
1638,1,0
2836,2,0
4933,3,0
0,0,1
551,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1513,1,0
2879,2,0
0,0,1
1146,1,1
0,0,0
