cumulative_distance,n_game_road_trip,win?
781,1,0
0,0,1
500,1,0
684,2,1
2175,3,0
0,0,0
8,1,0
0,0,1
0,0,0
0,0,1
3453,1,1
4397,2,1
5924,3,0
8472,4,0
0,0,0
328,1,1
0,0,0
1756,1,1
3544,2,0
0,0,0
0,0,0
0,0,0
0,0,0
328,1,0
0,0,0
0,0,0
0,0,1
8,1,1
138,2,1
0,0,1
0,0,1
0,0,1
1152,1,1
0,0,0
0,0,1
0,0,1
854,1,0
1916,2,0
0,0,1
1538,1,1
2316,2,1
3684,3,0
0,0,1
559,1,0
0,0,1
2286,1,1
3652,2,1
0,0,1
0,0,1
0,0,1
307,1,0
0,0,1
2550,1,0
4219,2,0
0,0,0
0,0,1
0,0,0
559,1,0
865,2,1
0,0,0
854,1,1
0,0,1
0,0,0
0,0,0
1756,1,0
0,0,1
0,0,1
1202,1,1
0,0,1
2138,1,0
3526,2,0
4460,3,0
5043,4,1
5626,5,1
6958,6,0
10835,7,0
0,0,1
0,0,0
0,0,0
1186,1,1
1906,2,1
0,0,1
