cumulative_distance,n_game_road_trip,win?
1582,1,1.0
0,0,1.0
1429,1,1.0
0,0,0.0
1741,1,0.0
2600,2,1.0
0,0,1.0
0,0,1.0
1126,1,1.0
0,0,0.0
0,0,1.0
1414,1,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
1429,1,0.0
0,0,0.0
2622,1,1.0
2929,2,0.0
3236,3,0.0
3365,4,0.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
0,0,1.0
1338,1,1.0
1913,2,1.0
0,0,0.0
0,0,1.0
0,0,1.0
1415,1,0.0
3265,2,1.0
3572,3,0.0
4446,4,1.0
5603,5,1.0
0,0,0.0
0,0,1.0
0,0,1.0
1527,1,1.0
0,0,0.0
1126,1,1.0
2831,2,0.0
3343,3,1.0
0,0,1.0
1414,1,0.0
0,0,1.0
1470,1,1.0
1876,2,0.0
0,0,1.0
598,1,1.0
1412,2,1.0
0,0,1.0
0,0,0.0
812,1,0.0
0,0,1.0
0,0,1.0
1338,1,0.0
0,0,1.0
0,0,0.0
2184,1,1.0
2886,2,0.0
0,0,1.0
1067,1,0.0
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
